word,pron
bundle,bŒndYl
bundy,bŒndi
bungalow,bŒKgYloŠ
bunk,bŒKkk+k
bunkbed,bŒKkk+kb[d
bunker,bŒKkZr
bunny,bYni
bunt,bŒntt+t
burden,bZrdYn
bureau,bjŠroŠ
burger,bZrgZr
burgers,bZrgZrz
burglar,bZrglYr
burgundy,bZrgYndi
burial,b[riYl
buried,b[rid
burl,bZrll+l
burly,bZrli
burn,bZrnn+n
burned,bZrnn+nd
burner,bZrnZr
burning,bZrnjK
burnt,bZrnn+nt
burp,bZrpp+p
burr,bZr
burrito,bYritoŠ
burst,bZrss+st
bury,b[ri
bus,bŒs
bush,bŠƒ
bushel,bŠƒYl
bushes,bŠƒYz
bushy,bŠƒi
business,bjznYs
business,bjznjs
buss,bŒs
bust,bŒstt+t
busted,bŒstjd
buster,bŒstZr
busting,bŒstjK
busy,bjzi
but,bŒt
butch,bŠtƒ
butler,bŒtlZr
butt,bŒt
butte,bjut
butter,bŒtZr
buttercup,bŒtZrkŒp
butterfly,bŒtZrflaj
buttermilk,bŒtZrmjlk
butterscotch,bŒtZrskQtƒ
buttery,bŒtZri
buttocks,bŒtYks
button,bŒtYn
buttonhole,bŒtYnhoŠl
buttress,bŒtrYs
butts,bŒtss+s
buy,baj
buyer,bajZr
buying,bajjK
buzz,bŒz
buzzed,bŒzdd+ed
buzzer,bŒzZr
buzzes,bŒzjz
buzzy,bŒzi
by,baj
bye,baj
cab,kæb
cabbage,kæbjd’
cabin,kæbYn
cabinet,kæbYnYt
cable,kejbYl
cables,kejbYlz
caboose,kYbus
cache,kæƒ
cacophony,kækQfYni
cactus,kæktYs
cad,kæd
cadence,kejdYns
cadet,kYd[t
cadillac,kædYlæk
cafe,kæfej
cafeteria,kæfYtjriY
caffeine,kæfin
cage,kejd’
cake,kejk
cakes,kejkss+es
calamine,kælYmajn
calculator,kælkjulejtZr
calendar,kælYndZr
calf,kæf
california,kælYfTrnjY
call,kTl
called,kTldd+ed
caller,kTlZr
calligraphy,kYljgrYfi
calling,kQljK
calls,kTlzz+s
calm,kQm
calm,kQlmm+m
calorie,kælTri
calve,kæv
cam,kæm
camaraderie,kQmYrQdZri
came,kejm
camel,kæmYl
camera,kæmZrY
camera,kæmrY
cameras,kæmZrYz
cameras,kæmrYz
camouflage,kæmYflQd’
camp,kæmpp+p
campaign,kæmpejn
campbell,kæmbYl
camper,kæmpZr
campfire,kæmpp+pfajZr
camping,kæmpjK
campsite,kæmpp+psajt
campus,kæmpYs
can,kæn
canadian,kYnejdiYn
canal,kYnæl
canary,kYn[ri
cancel,kænsYl
cancelled,kænsYld
cancer,kænsZr
candelabra,kændYlQbrY
candle,kændYl
candlelight,kændYllajt
candlestick,kændYlstjk
candy,kændi
cane,kejn
canned,kændd+ed
cannon,kænYn
cannot,kænQt
canoe,kYnu
canoeing,kYnujK
cant,kæntt+t
cantaloupe,kæntYloŠp
canteen,kæntin
canvas,kænvYs
cap,kæp
capable,kejpYbYl
cape,kejp
capitalize,kæpYtYlajz
cappuccino,kæpYtƒinoŠ
capricious,kYprjƒYs
captain,kæptYn
captive,kæptjv
capture,kæptƒZr
car,kQr
carafe,kYræf
caramel,kærYmYl
caramel,kQrmYl
carbon,kQrbYn
carburetor,kQrbZrejtYr
card,kQrdd+d
cardboard,kQrdd+dbTrd
cardiac,kQrdiæk
cardinal,kQrdjnYl
cards,kQrdd+dz
care,k[r
cared,k[rdd+ed
career,kYrjr
careful,k[rfYl
carefully,k[rfYli
careless,k[rlYs
carelessness,k[rl[snYs
cares,k[rzz+es
caress,kYr[s
caribou,k[rjbu
caricature,k[rjkYtƒYr
carl,kQrll+l
carlo,kQrloŠ
carnegie,kQrnYgi
carnival,kQrnYvYl
carol,k[rYl
carol,kærYl
carolina,k[rYlajnY
carousal,kYraŠzYl
carousel,k[rYs[l
carp,kQrpp+p
carpenter,kQrpYntZr
carpet,kQrpYt
carpeting,kQrpYtjK
carriage,kærjd’
carriage,k[rYd’
carried,kærid
carried,k[rid
carrier,kæriZr
carrier,k[riZr
carries,kæriz
carries,k[riz
carrot,kærYt
carrot,k[rYt
carry,kæri
carry,k[ri
carrying,k[rijK
carrying,kærijK
cars,kQrzz+s
carsick,kQrsjk
carson,kQrsYn
cart,kQrtt+t
carter,kQrtZr
carton,kQrtYn
cartoon,kQrtun
cartoonist,kQrtunjst
cartwheel,kQrtwil
carve,kQrvv+v
carwash,kQrwQƒ
case,kejs
cases,kejsYz
cases,kejsjz
cash,kæƒ
cashew,kæƒu
cashier,kæƒjr
casino,kYsinoŠ
cask,kæskk+k
casket,kæskjt
casserole,kæsZroŠl
cassette,kYs[t
cassie,kæsi
cast,kæstt+t
caste,kæstt+t
castle,kæsYl
cat,kæt
catalogue,kætYlTg
catamaran,kætYmYræn
catapult,kætYpYlt
catastrophe,kYtæstrYfi
catch,kætƒ
catcher,kætƒZr
catches,kætƒjz
category,kætYgTri
cater,kejtZr
caterpillar,kætZrpjlZr
catfish,kætfjƒ
cathedral,kY¸idrYl
catherine,kæ¸rjn
catherine,kæ¸Zrjn
catherine,kæ¸ZrYn
catnap,kætnæp
catnip,kætnjp
cats,kætss+s
cattle,kætYl
caught,kTt
cauliflower,kQlYflaŠZr
cause,kTz
caused,kQzdd+ed
caused,kTzdd+ed
caution,kQƒYn
cavalry,kævYlri
cave,kejv
caveman,kejvmæn
cavern,kævZrn
caviar,kæviQr
cavity,kævYti
cayenne,kaj[n
cayenne,kaj[n
cayenne,kej[n
cease,sis
cedar,sidZr
ceiling,siljK
celebrate,s[lYbrejt
celebration,s[lYbrejƒYn
celery,s[lZri
cell,s[l
cello,tƒ[loŠ
cement,sYm[nt
cement,sjm[nt
cent,s[ntt+t
center,s[ntZr
centipede,s[ntjpid
central,s[ntrYl
cents,s[ntt+ts
century,s[ntƒZri
ceramic,sYræmjk
cereal,sjriYl
ceremony,s[rYmoŠni
certain,sZrtYn
certainly,sZrtYnli
cetera,s[tZrY
chafe,tƒejf
chain,tƒejn
chainsaw,tƒejnsT
chair,tƒ[r
chairman,tƒ[rmYn
chaise,ƒejz
chalk,tƒTk
challenge,tƒælYnd’
chamberlain,tƒejmbZrlYn
chambers,tƒejmbZrz
chameleon,kYmiliYn
champ,tƒæmpp+p
champagne,ƒæmpejn
champion,tƒæmpiYn
chan,tƒæn
chance,tƒænss+c
chances,tƒænsYz
chances,tƒænsjz
chandelier,ƒændYljr
chandler,tƒændd+dlZr
change,tƒejnd’d’+g
changed,tƒejnd’d’+gd
changes,tƒejnd’jz
changing,tƒejnd’jK
channel,tƒænYl
channels,tƒænYlz
chant,tƒæntt+t
chaos,kejQs
chap,tƒæp
chapel,tƒæpYl
chaplin,tƒæplYn
chaplin,tƒæpljn
chapter,tƒæptZr
char,tƒQr
character,k[rjktYr
charade,ƒYrejd
charcoal,tƒQrkoŠl
charge,tƒQrd’d’+g
charged,tƒQrd’d’+gd
charges,tƒQrd’jz
charging,tƒQrd’jK
chariot,tƒ[riYt
charisma,kYrjzmY
charity,tƒ[rjti
charlatan,ƒQrlYtYn
charles,tƒQrYlz
charlie,tƒQrli
charlotte,ƒQrlYt
charm,tƒQrmm+m
charmed,tƒQrmm+md
charming,tƒQrmjK
chart,tƒQrtt+t
chartreuse,ƒQrtruz
charts,tƒQrtt+ts
chase,tƒejs
chasing,tƒejsjK
chasm,kæzmm+m
chassis,tƒæsi
chaste,tƒejstt+t
chastise,tƒæstajz
chat,tƒæt
chatter,tƒætZr
chauffeur,ƒoŠfZr
chaw,tƒT
cheap,tƒip
cheaper,tƒipZr
cheat,tƒit
cheater,tƒitZr
cheating,tƒitjK
check,tƒ[k
checked,tƒ[ktt+ed
checker,tƒ[kZr
checkerboard,tƒ[kZrbTrd
checkers,tƒ[kZrz
checking,tƒ[kjK
checkout,tƒ[kaŠt
checks,tƒ[kss+s
checkup,tƒ[kŒp
cheddar,tƒ[dZr
cheek,tƒik
cheekbone,tƒikboŠn
cheep,tƒip
cheer,tƒjr
cheerful,tƒjrfYl
cheerleader,tƒjrlidZr
cheerleaders,tƒjrlidZrz
cheers,tƒjrzz+s
cheery,tƒjri
cheese,tƒiz
cheeseburger,tƒizbZrgZr
cheesecake,tƒizkejk
cheesy,tƒizi
cheetah,tƒitY
chef,ƒ[f
chelsea,tƒ[lsi
chemicals,k[mjkYlz
chemistry,k[mjstri
chenille,ƒYnil
cheque,tƒ[k
cherry,tƒ[ri
chess,tƒ[s
chest,tƒ[stt+t
chester,tƒ[stZr
chestnut,tƒ[snŒt
chew,tƒu
chewable,tƒuYbYl
chewer,tƒuZr
chewing,tƒujK
chewy,tƒui
cheyenne,ƒaj[n
chianti,kiQnti
chic,ƒik
chicago,ƒYkQgoŠ
chick,tƒjk
chicken,tƒjkYn
chicks,tƒjkss+s
chide,tƒajd
chief,tƒif
chiefs,tƒifss+s
chiffon,ƒjfQn
child,tƒajldd+d
childish,tƒajldjƒ
children,tƒjldrYn
chili,tƒjli
chill,tƒjl
chilliness,tƒjlinYs
chilly,tƒjli
chime,tƒajm
chimney,tƒjmni
chimp,tƒjmpp+p
chimpanzee,tƒjmpænzi
chin,tƒjn
china,tƒajnY
chinatown,tƒajnYtaŠn
chinese,tƒajniz
chip,tƒjp
chipmunk,tƒjpmYKk
chipper,tƒjpZr
chips,tƒjpss+s
chirp,tƒZrpp+p
chisel,tƒjzYl
chive,tƒajv
chloe,kloŠi
chlorine,klTrin
chocolate,tƒTkYlYt
choice,tƒTjs
choir,kwajrr+r
choke,tƒoŠk
choking,tƒoŠkjK
cholera,kQlZrY
chomp,tƒTmpp+p
choose,tƒuz
chooser,tƒuzZr
choosing,tƒuzjK
chop,tƒQp
chops,tƒQpss+s
choral,kTrYl
chord,kTrdd+d
chore,tƒTr
chorus,kTrYs
chose,tƒoŠz
chosen,tƒoŠzYn
chow,tƒaŠ
chowder,tƒoŠdZr
christ,krajss+st
christian,krjss+stƒYn
christian,krjss+stƒjn
christmas,krjss+stmYs
christopher,krjstYfZr
chrome,kroŠmm+m
chronic,krQnjk
chrysalis,krjsYljs
chrysanthemum,krjsæn¸YmYm
chubby,tƒŒbi
chuck,tƒŒk
chuckle,tƒŒkYl
chuckling,tƒŒkljK
chum,tƒŒm
chump,tƒŒmpp+p
chunk,tƒŒKkk+k
chunky,tƒŒKki
church,tƒZrtƒtƒ+ch
churchgoer,tƒZrtƒtƒ+chgoŠZr
churchyard,tƒZrtƒtƒ+chjQrd
churn,tƒZrnn+n
chute,ƒut
ciao,tƒaŠ
cider,sajdZr
cigar,sjgQr
cigarette,sjgYr[t
cigarettes,sjgYr[ts
cinch,sjntƒtƒ+ch
cincinnati,sjnsYnæti
cinder,sjndZr
cinderella,sjndZr[lY
cinema,sjnYmY
cinnamon,sjnYmYn
circle,sZrkYl
circuit,sZrkYt
circuitous,sZrkjujtYs
circular,sZrkjulZr
circumstances,sZrkYmstænsYz
circumstances,sZrkYmstænsjz
circus,sZrkYs
cirrhosis,sYroŠsYs
cite,sajt
citizen,sjtYzYn
citrus,sjtrYs
city,sjti
civil,sjvYl
civilians,sYvjljYnz
civilized,sjvYlajzd
clad,klædd+d
claim,klejmm+m
claims,klejmm+mz
claire,kl[rr+r
clairvoyance,kl[rr+rvTjYns
clam,klæmm+m
clamp,klæmm+mp
clan,klænn+n
clang,klæKK+ng
clank,klæKK+nk
clap,klæpp+p
clarinet,kl[rYn[t
clark,klQrr+rk
clash,klæƒƒ+sh
class,klæss+ss
classes,klæsYz
classes,klæsjz
classic,klæsjk
classical,klæsjkYl
classmate,klæsmejt
classroom,klæss+ssrum
classy,klæsi
clause,klTzz+s
claw,klT
clay,klej
clean,klinn+n
cleaned,klinn+nd
cleaner,klinZr
cleaning,klinjK
cleanness,klinjs
cleanse,kl[nn+nz
cleanser,kl[nn+nzZr
cleanup,klinŒp
clear,kljrr+r
cleared,kljrr+rd
clearing,kljrjK
clearly,kljrr+rli
cleat,klitt+t
cleft,kl[ff+ft
clench,kl[nn+ntƒ
clergy,klZrr+rd’i
clerk,klZrr+rk
cleveland,klivv+vlYnd
clever,kl[vZr
click,kljkk+ck
clicker,kljkZr
client,klajYnt
clients,klajYnts
cliff,kljff+ff
climate,klajmYt
climate,klajmjt
climb,klajmm+mb
climbed,klajmm+mbd
clinch,kljnn+ntƒ
cling,kljKK+ng
clingy,kljKK+ngi
clinic,kljnjk
clink,kljKK+nk
clip,kljpp+p
cloak,kloŠkk+k
clock,klQkk+ck
clod,klQdd+d
clog,klQgg+g
clone,kloŠnn+n
clop,klQpp+p
close,kloŠzz+s
close,kloŠss+s
closed,kloŠzz+sd
closeness,kloŠss+snjs
closer,kloŠzZr
closer,kloŠsZr
closest,kloŠsYst
closet,klQzYt
closing,kloŠzjK
clot,klQtt+t
cloth,klT¸¸+th
clothe,kloŠğğ+th
clothes,kloŠğğ+thz
clothesline,kloŠğğ+thzlajn
clothespin,kloŠğğ+thzpjn
clothing,kloŠğjK
clots,klQtt+ts
cloud,klaŠdd+d
cloudy,klaŠdi
clout,klaŠtt+t
clove,kloŠvv+v
clover,kloŠvZr
cloverleaf,kloŠvZrlif
clown,klaŠnn+n
clowns,klaŠnn+nz
club,klŒbb+b
cluck,klŒkk+ck
clue,klu
clueless,klulYs
clues,kluzz+s
clump,klŒmm+mp
clumpy,klŒmm+mpi
clumsy,klŒmm+mzi
clung,klŒKK+ng
clunk,klŒKK+nk
cluster,klŒstZr
clutch,klŒtƒtƒ+tch
clutter,klŒtZr
coach,koŠtƒ
coal,koŠl
coarse,kTrss+s
coast,koŠstt+t
coastal,koŠstYl
coaster,koŠstZr
coat,koŠt
coats,koŠtss+s
coax,koŠks
cob,kQb
cobra,koŠbrY
cocaine,koŠkejn
cochlea,kQkliY
cock,kQk
cockroach,kQkroŠtƒ
cocoa,koŠkoŠ
coconut,koŠkYnŒt
cocoon,kYkun
cod,kQd
code,koŠd
coffee,kQfi
cognition,kQgnjƒYn
coil,kTjl
coin,kTjn
coincidence,koŠjnsjdYns
coke,koŠk
cola,koŠlY
cold,koŠldd+d
coldness,koŠldd+dnYs
cole,koŠl
coleslaw,koŠlslQ
collaborator,kYlæbZrejtZr
collapse,kYlæps
collapsed,kYlæpst
collar,kQlZr
colleague,kQlig
colleagues,kQligz
collect,kYl[kt
collected,kYl[ktYd
collection,kYl[kƒYn
college,kQljd’
collie,kQli
collier,kQljZr
cologne,kYloŠn
colonel,kZrnYl
colony,kQlYni
color,kŒlZr
colorado,kQlYrQdoŠ
colorado,kQlYrædoŠ
colored,kŒlZrd
colorful,kŒlZrfYl
coloring,kŒlZrjK
colorless,kŒlZrlYs
colt,koŠltt+t
columbia,kYlŒmbiY
columbus,kYlŒmbYs
column,kQlYm
com,kQm
comb,koŠm
combine,kYmbajn
combine,kQmbajn
combing,koŠmjK
come,kŒm
comedian,kYmidiYn
comely,kŒmli
comes,kŒmzz+es
comet,kQmYt
comfort,kŒmfZrt
comfortable,kŒmfZrtYbYl
comfy,kŒmfi
comic,kQmjk
comics,kQmjks
coming,kŒmjK
comma,kQmY
command,kYmænd
commander,kYmændZr
commandment,kYmændmYnt
commence,kYm[ns
comment,kQmYnt
comments,kQm[nts
commercial,kYmZrƒYl
commercials,kYmZrƒYlz
commit,kYmjt
committed,kYmjtjd
committee,kYmjti
common,kQmYn
commune,kQmjun
communicate,kYmjunYkejt
communion,kYmjunjYn
community,kYmjunYti
community,kYmjunjti
companion,kYmpænjYn
company,kŒmpYni
compare,kYmp[r
compartment,kYmpQrtmYnt
compass,kŒmpYs
compassion,kYmpæƒYn
compete,kYmpit
competition,kQmpYtjƒYn
complain,kYmplejn
complete,kYmplit
completely,kYmplitli
complicated,kQmplYkejtYd
compliment,kQmplYmYnt
composer,kYmpoŠzZr
compressed,kYmpr[st
compromised,kQmprYmajzd
computer,kYmpjutZr
comrade,kQmræd
comrades,kQmrædz
con,kQn
concentrate,kQnsYntrejt
concentration,kQnsYntrejƒYn
concern,kYnsZrn
concerned,kYnsZrnd
concerning,kYnsZrnjK
concert,kQnsZrt
concierge,kQnsiZr’
conciliatory,kYnsjliYtTri
conclusions,kYnklu’Ynz
concrete,kQnkrit
concrete,kYnkrit
condemn,kYnd[m
condense,kYnd[ns
condition,kYndjƒYn
conditioner,kYndjƒYnZr
condom,kQndYm
condoms,kQndYmz
conduct,kQndŒkt
conduct,kYndŒkt
conductor,kYndŒktZr
cone,koŠn
conference,kQnfZrYns
conference,kQnff+frYns
confess,kYnf[s
confessed,kYnf[st
confession,kYnf[ƒYn
confetti,kYnf[ti
confidence,kQnfYd[ns
confirm,kYnfZrm
confirmation,kQnfZrmejƒYn
confuse,kYnfjuz
confused,kYnfjuzd
confusing,kYnfjuzjK
congeniality,kYnd’iniælYti
congratulations,kYngrætƒYlejƒYnz
congress,kQKgrYs
congressman,kQngrYsmYn
conjure,kQnd’Zr
connect,kYn[kt
connected,kYn[ktjd
connecticut,kYn[tjkYt
connection,kYn[kƒYn
connie,kTni
connoisseur,kQnYsZr
conquer,kQnkZr
conscience,kQnƒYns
consequence,kQnsYkwYns
consider,kYnsjdZr
consideration,kYnsjdZrejƒYn
considered,kYnsjdZrd
considering,kYnsjdZrjK
consist,kYnsjst
consistent,kYnsjstYnt
constituency,kYnstjtƒuYnsi
constitution,kQnstYtuƒYn
construction,kYnstrŒkƒYn
consult,kYnsŒlt
contact,kQntækt
contagion,kYntejd’Yn
contain,kYntejn
contained,kYntejnd
container,kYntejnZr
containment,kYntejnmYnt
contains,kYntejnz
contempt,kYnt[mpt
contest,kQnt[st
contest,kYnt[st
contestant,kYnt[stYnt
continue,kYntjnju
continues,kYntjnjuz
contract,kQntrækt
contracts,kYntrækts
contracts,kQntrækts
contrive,kYntrajv
control,kYntroŠl
controllable,kYntroŠlYbYl
conundrum,kYnŒndrYm
convenience,kYnviniYns
convent,kQnvYnt
conversation,kQnvZrsejƒYn
conversations,kQnvZrsejƒYns
convert,kYnvZrt
convert,kQnvZrt
convict,kŒnvjkt
convict,kQnvjkt
conviction,kYnvjkƒYn
convince,kYnvjns
convinced,kYnvjnst
convincing,kYnvjnsjK
convoy,kQnvTj
coo,ku
cook,kŠk
cookbook,kŠkbŠk
cooker,kŠkZr
cookie,kŠki
cookies,kŠkiz
cooking,kŠkjK
cookout,kŠkaŠt
cool,kul
cooler,kulZr
coolness,kulnYs
coop,kup
cooper,kupZr
cootie,kuti
cop,kQp
cope,koŠp
copper,kQpZr
cops,kQpss+s
copy,kQpi
copycat,kQpikæt
cord,kTrdd+d
core,kTr
cork,kTrkk+k
corn,kTrnn+n
cornbread,kTrnn+nbr[d
corncob,kTrnn+nkQb
corner,kTrnZr
corners,kTrnZrz
cornfield,kTrnn+nfild
cornmeal,kTrnn+nmil
cornstalk,kTrnn+nstTk
coroner,kTrYnZr
corporal,kTrpZrYl
corps,kTr
corpse,kTrpp+ps
corpuscular,kTrpŒskjulZr
corral,kYræl
correct,kYr[kt
corrections,kYr[kƒYnz
correctly,kYr[ktli
corridor,kTrYdTr
corrupt,kYrŒpt
cost,kTstt+t
costs,kTstt+ts
costs,kQstt+ts
costume,kQstum
costumes,kQstumz
cot,kQt
cottage,kQtjd’
cotton,kQtYn
couch,kaŠtƒ
cougar,kugZr
cough,kTf
coughing,kTfjK
could,kŠd
council,kaŠnsYl
counsel,kaŠnsYl
count,kaŠntt+t
countdown,kaŠntt+tdaŠn
counted,kaŠntjd
counter,kaŠntZr
countersue,kaŠntZrsu
countess,kaŠntYs
counting,kaŠntjK
country,kŒntri
county,kaŠnti
coup,ku
coupe,kup
couple,kYpYl
coupon,kupQn
courage,kZrjd’
courier,kZriYr
course,kTrss+s
court,kTrtt+t
courteous,kZrtiYs
courtesy,kZrtYsi
courts,kTrtt+ts
cousin,kŒzYn
cove,koŠv
cover,kŒvZr
coverage,kŒvZrjd’
coverage,kŒvZrYd’
coverage,kŒvrjd’
covered,kŒvZrd
cow,kaŠ
coward,kaŠZrd
cowboy,kaŠbTj
cower,kaŠZr
cowgirl,kaŠgZrl
cowl,kaŠl
cox,kQks
coy,kTj
coyote,kajoŠti
coyote,kajoŠt
cozy,koŠzi
crab,kræbb+b
crack,krækk+ck
cracker,krækZr
crackers,krækZrz
cracking,krækjK
crackle,krækYl
cracks,krækk+cks
cradle,krejdYl
craft,kræff+ft
crag,krægg+g
cram,kræmm+m
cramp,kræmm+mp
cranberry,krænn+nb[ri
crane,krejnn+n
crank,kræKK+nk
cranky,kræKK+nki
crap,kræpp+p
crappy,kræpi
crash,kræƒƒ+sh
crashing,kræƒjK
crass,kræss+ss
crate,krejtt+t
crater,krejtZr
crave,krejvv+v
crawl,krTll+l
crawler,krTlZr
crawlers,krTlZrz
crayon,krejjQn
craze,krejzz+z
crazy,krejzi
creak,krikk+k
creaky,kriki
cream,krimm+m
creamy,krimi
crease,kriss+s
create,kriejt
created,kriejtYd
created,kriejtjd
creation,kriejƒYn
creator,kriejtZr
creature,kritƒZr
creche,kr[ƒƒ+ch
credit,kr[dYt
creed,kridd+d
creek,krikk+k
creep,kripp+p
creeps,kripp+ps
creepy,kripi
crepe,krejpp+p
crept,kr[pp+pt
crescendo,krjƒ[ndoŠ
crescent,kr[s[nt
crest,kr[ss+st
crevice,kr[vjs
crew,kru
crib,krjbb+b
cricket,krjkjt
crier,krajZr
crime,krajmm+m
criminal,krjmYnYl
crisis,krajsYs
crisp,krjss+sp
crispy,krjspi
crisscross,krjskrTs
critic,krjtjk
critter,krjtZr
croak,kroŠkk+k
crock,krQkk+ck
crocodile,krQkYdajl
croissant,krYsQnt
crone,kroŠnn+n
crook,krŠkk+k
crooked,krŠkYd
croon,krunn+n
crop,krQpp+p
croquet,kroŠkej
cross,krTss+ss
crossed,krTss+sst
crosswalk,krQswQk
crossword,krTswZrd
crouch,kraŠtƒtƒ+ch
crouton,krutQn
crow,kroŠ
crowd,kraŠdd+d
crown,kraŠnn+n
crucial,kruƒYl
crucifix,krusYfjks
cruddy,krŒdi
crude,krudd+d
cruel,krull+l
cruel,kruYl
cruise,kruzz+s
crumb,krŒmm+mb
crumble,krŒmm+mbYl
crumbly,krŒmm+mbli
crummy,krŒmi
crumple,krŒmm+mpYl
crunch,krŒnn+ntƒ
crunchy,krŒnn+ntƒi
crush,krŒƒƒ+sh
crust,krŒss+st
crutch,krŒtƒtƒ+tch
crutches,krŒtƒjz
crux,krŒksks+x
cry,kraj
crybaby,krajbejbi
crying,krajjK
crypt,krjpp+pt
crystal,krjstYl
csar,zQr
cub,kŒb
cubby,kŒbi
cubbyhole,kŒbihoŠl
cube,kjub
cuckoo,kuku
cucumber,kjukŒmbZr
cud,kŒd
cuddle,kŒdYl
cue,kju
cuff,kŒf
cuffs,kŒfss+s
cuisine,kwjzin
cull,kŒl
cult,kŒltt+t
culture,kŒltƒZr
cunt,kŒntt+t
cup,kŒp
cupboard,kŒbZrd
cupcake,kŒpkejk
cupful,kŒpfŠl
cups,kŒpss+s
cur,kZr
curate,kjŠrejt
curb,kZrbb+b
curd,kZrdd+d
cure,kjŠr
cured,kjŠrdd+ed
curfew,kZrfju
curious,kjŠriYs
curl,kZrll+l
curler,kZrlZr
curly,kZrli
current,kZrYnt
curse,kZrss+s
cursive,kZrsjv
curt,kZrtt+t
curtain,kZrtYn
curtains,kZrtYnz
curve,kZrvv+v
curved,kZrvv+vd
cushion,kŠƒYn
cusp,kŒspp+p
cuss,kŒs
custard,kŒstZrd
custodian,kŒstoŠdiYn
custody,kŒstYdi
custom,kŒstYm
customer,kŒstYmZr
customers,kŒstYmZrz
customs,kŒstYmz
cut,kŒt
cutaneous,kjutejniYs
cute,kjut
cuteness,kjutnYs
cutesy,kjutsi
cutie,kjuti
cutout,kŒtaŠt
cutter,kŒtZr
cutting,kŒtjK
cycle,sajkYl
cylinder,sjljndZr
cymbals,sjmbYlz
cyst,sjstt+t
czar,zQr
dab,dæb
dachshund,dQkss+shŠnd
dad,dæd
daddy,dædi
daffodil,dæfYdjl
dagger,dægZr
daily,dejli
dainty,dejnti
dairy,d[ri
daisy,dejzi
dale,dejl
dalmatian,dælmejƒYn
dam,dæm
damage,dæmYd’
damage,dæmjd’
dame,dejm
damn,dæm
damned,dæmdd+ed
damp,dæmpp+p
damsel,dæmzYl
dan,dæn
dance,dænss+c
dancer,dænsZr
dancers,dænsZrz
dances,dænsYz
dances,dænsjz
dancing,dænsjK
dandelion,dændYlajYn
dandy,dændi
dane,dejn
dang,dæK
danger,dejnd’Zr
dangerous,dejnd’ZrYs
dangle,dæKgYl
daniel,dænjYl
dank,dæKkk+k
danny,dæni
dante,dQntej
daphne,dæfni
dare,d[r
daredevil,d[rd[vYl
dark,dQrkk+k
darken,dQrkYn
darkened,dQrkYnd
darkness,dQrkk+knYs
darling,dQrljK
darn,dQrnn+n
dart,dQrtt+t
darts,dQrtt+ts
dash,dæƒ
data,dejtY
data,dætY
database,dætYbejs
database,dejtYbejs
date,dejt
dates,dejtss+es
dating,dejtjK
daughter,dTtZr
daunt,dTntt+t
dave,dejv
david,dejvjd
davis,dejvjs
davis,dejvYs
dawn,dTn
day,dej
daycare,dejk[r
daydreamer,dejdrimZr
daylight,dejlajt
days,dejz
daytime,dejtajm
daze,dejz
dazzle,dæzYl
dead,d[d
deadline,d[dlajn
deadly,d[dli
deaf,d[f
deafness,d[fnYs
deal,dil
dealer,dilZr
dealers,dilZrz
dealing,diljK
dealt,d[ltt+t
dean,din
dear,djr
dearly,djrli
dearth,dZr¸¸+th
death,d[¸
debilitate,dYbjlYtejt
deborah,d[bZrY
debt,d[t
debtor,d[tZr
debts,d[tss+s
debut,dejbju
decade,d[kejd
deceased,djsist
december,djs[mbZr
decency,disYnsi
decent,disYnt
decibel,d[sYb[l
decide,djsajd
decided,djsajdjd
deciduous,djsjd’uYs
decimal,d[sYmYl
decision,djsj’Yn
decisions,djsj’Ynz
deck,d[k
declared,djkl[rd
decorate,d[kZrejt
decorated,d[kZrejtYd
decorated,d[kZrejtjd
decoration,d[kZrejƒYn
decoy,dikTj
deduct,djdŒkt
deed,did
deem,dim
deep,dip
deeper,dipZr
deepest,dipYst
deeply,dipli
deer,djr
defeated,djfitYd
defeated,djfitjd
defend,djf[nd
defendant,djf[ndYnt
defense,djf[ns
defensive,djf[nsjv
define,djfajn
definite,d[fYnjt
definitely,d[fYnYtli
definition,d[fYnjƒYn
deformed,djfTrmd
defrost,djfrTst
deft,d[ftt+t
degree,djgri
degrees,djgriz
deity,diYti
delayed,djlejd
delete,djlit
deliberately,djljbrYtli
deliberately,djljbZrYtli
delicious,djljƒYs
delight,djlajt
delirious,djljriYs
deliver,djljvZr
delivered,djljvZrd
delivering,djljvZrjK
delivery,djljvZri
dell,d[l
delta,d[ltY
demagogue,d[mYgQg
demand,djmænd
demise,djmajz
democracy,djmQkrYsi
demon,dimYn
demonstrate,d[mYnstrejt
den,d[n
denial,djnajYl
denim,d[nYm
denizen,d[nYz[n
dennis,d[njs
dense,d[nss+s
dent,d[ntt+t
dental,d[ntYl
dentist,d[ntYst
dentist,d[ntjst
deny,dYnaj
department,djpQrtmYnt
departure,djpQrtƒZr
dependent,djp[ndYnt
depending,djp[ndjK
depends,djp[ndz
depot,dipoŠ
depressed,djpr[st
depressing,djpr[sjK
depth,d[p¸¸+th
deputy,d[pjuti
deputy,d[pjYti
describe,djskrajb
desert,d[zZrt
desert,djzZrt
deserted,djzZrtjd
deserve,djzZrv
deserves,djzZrvz
deserving,djzZrvjK
design,djzajn
designed,djzajnd
designer,djzajnZr
desirable,djzajrYbYl
desirable,djzajrYbYl
desire,djzajZr
desires,djzajrz
desk,d[skk+k
despair,djsp[r
desperate,d[spp+prjt
desperate,d[spZrjt
desperately,d[spZrYtli
desperately,d[spp+prYtli
despise,djspajz
despite,djspajt
dessert,djzZrt
