ÿWORD,MEANING,AoAtestbased,AoArating,CDI,Morr,Floc,
preach,give sermon,9,7.7,#N/A,#N/A,#N/A,
preacher,speaks in church,9,7.0,#N/A,#N/A,#N/A,
prepaid,paid in advance,9,13.1,#N/A,#N/A,#N/A,
preparation,getting ready,9,9.5,#N/A,#N/A,#N/A,
prepay,pay in advance,9,12.2,#N/A,#N/A,#N/A,
prescription,an order for a medicine,9,9.2,#N/A,#N/A,#N/A,
press,to bear down on,9,6.4,#N/A,#N/A,#N/A,
press,newspapers,9,6.4,#N/A,#N/A,#N/A,
press,to squeeze,9,6.4,#N/A,#N/A,#N/A,
pressure,weight pressing down,9,8.7,#N/A,#N/A,#N/A,
pressure,the force from inside,9,8.7,#N/A,#N/A,#N/A,
preventable,can be avoided,9,9.7,#N/A,#N/A,#N/A,
pride,being proud of,9,8.7,#N/A,#N/A,#N/A,
prince,a ruler,9,5.2,#N/A,#N/A,#N/A,
print,a mark made by pressing,9,7.8,#N/A,#N/A,#N/A,
printing,stamping letters and words,9,8.2,#N/A,#N/A,#N/A,
prisoner,person in jail,9,7.6,#N/A,#N/A,#N/A,
private,sort of a secret,9,6.7,#N/A,#N/A,#N/A,
prizefight,a boxing match,9,,#N/A,#N/A,#N/A,
pro,a professional,9,8.1,#N/A,#N/A,#N/A,
problem,a question,9,6.5,#N/A,#N/A,#N/A,
produce,to supply,9,8.4,#N/A,#N/A,#N/A,
professional,an expert,9,9.4,#N/A,#N/A,#N/A,
professor,college teacher,9,10.6,#N/A,#N/A,#N/A,
projector,shows movies,9,7.2,#N/A,#N/A,#N/A,
prom,formal dance,9,10.5,#N/A,#N/A,#N/A,
promote,raise to next grade,9,10.3,#N/A,#N/A,#N/A,
propeller,part of plane,9,7.0,#N/A,#N/A,#N/A,
property,a thing owned,9,8.5,#N/A,#N/A,#N/A,
propose,ask to marry,9,9.2,#N/A,#N/A,#N/A,
prune,a dried plum,9,8.1,#N/A,#N/A,#N/A,
public,the people,9,8.0,#N/A,#N/A,#N/A,
public,for the people,9,8.0,#N/A,#N/A,#N/A,
puff,short blow,9,6.8,#N/A,#N/A,#N/A,
punch,makes holes,9,5.8,#N/A,#N/A,#N/A,
punch,mixed fruit juice,9,5.8,#N/A,#N/A,#N/A,
punish,to make pay the penalty,9,6.4,#N/A,#N/A,#N/A,
punishment,the penalty given,9,6.2,#N/A,#N/A,#N/A,
punishment,receiving pain for bad behavior,9,6.2,#N/A,#N/A,#N/A,
purpose,the reason for doing,9,8.4,#N/A,#N/A,#N/A,
purr,cat sound,9,4.5,#N/A,#N/A,#N/A,
puss,a cat,9,8.5,#N/A,#N/A,#N/A,
putaway,to put in the right place,9,,#N/A,#N/A,#N/A,
putoff,to set for later,9,,#N/A,#N/A,#N/A,
putupwith,to stand the unpleasantness,9,,#N/A,#N/A,#N/A,
putty,kind of cement,9,7.4,#N/A,#N/A,#N/A,
pyramid,Egyptian tomb,9,7.8,#N/A,#N/A,#N/A,
quake,earthquake,9,8.6,#N/A,#N/A,#N/A,
quarrel,to dispute,9,8.5,#N/A,#N/A,#N/A,
quarrel,unfriendly talk,9,8.5,#N/A,#N/A,#N/A,
quarter,one-fourth,9,5.9,#N/A,#N/A,#N/A,
quartet,four singers,9,10.3,#N/A,#N/A,#N/A,
quicken,to go faster,9,8.6,#N/A,#N/A,#N/A,
quickie,a fast one,9,12.8,#N/A,#N/A,#N/A,
quickness,speed,9,8.0,#N/A,#N/A,#N/A,
quicksand,dangerous sand,9,9.6,#N/A,#N/A,#N/A,
quick-tempered,gets angry easily,9,,#N/A,#N/A,#N/A,
quintuplets,five in one birth,9,,#N/A,#N/A,#N/A,
quit,to stop,9,6.1,#N/A,#N/A,#N/A,
quotation,repeat another's words,9,9.4,#N/A,#N/A,#N/A,
quotation,repetition of another's words,9,9.4,#N/A,#N/A,#N/A,
quotationmarks,punctuation mark,9,,#N/A,#N/A,#N/A,
rackuppoints,to score,9,,#N/A,#N/A,#N/A,
racket,for tennis,9,8.2,#N/A,#N/A,#N/A,
radiator,cools car engine,9,8.5,#N/A,#N/A,#N/A,
raft,made from logs,9,6.9,#N/A,#N/A,#N/A,
rage,act violently,9,8.3,#N/A,#N/A,#N/A,
ragged,"rough, uneven",9,8.5,#N/A,#N/A,#N/A,
ragged,worn-looking,9,8.5,#N/A,#N/A,#N/A,
ragtime,old-style jazz,9,11.9,#N/A,#N/A,#N/A,
raid,a sudden attack,9,9.0,#N/A,#N/A,#N/A,
railing,a hand support,9,6.6,#N/A,#N/A,#N/A,
railway,train tracks,9,6.7,#N/A,#N/A,#N/A,
raincoat,waterproof cloak,9,5.5,#N/A,#N/A,#N/A,
raise,get someone up,9,6.5,#N/A,#N/A,#N/A,
raise,increase in pay,9,6.5,#N/A,#N/A,#N/A,
raise,to lift,9,6.5,#N/A,#N/A,#N/A,
raise,to set up,9,6.5,#N/A,#N/A,#N/A,
rancher,runs Western farm,9,9.7,#N/A,#N/A,#N/A,
rang,made the bell sound,9,4.9,#N/A,#N/A,#N/A,
range,a stove,9,8.2,#N/A,#N/A,#N/A,
ranger,forest guard,9,8.7,#N/A,#N/A,#N/A,
rapidity,speed,9,12.8,#N/A,#N/A,#N/A,
rapidly,quickly,9,,#N/A,#N/A,#N/A,
raspberry,a fruit,9,5.3,#N/A,#N/A,#N/A,
rather,more gladly,9,7.8,#N/A,#N/A,#N/A,
rattlebrain,a giddy person,9,,#N/A,#N/A,#N/A,
ray,a beam of light,9,7.0,#N/A,#N/A,#N/A,
ray,a beam of energy,9,7.0,#N/A,#N/A,#N/A,
rayon,artificial silk,9,13.1,#N/A,#N/A,#N/A,
razor,used for shaving,9,7.8,#N/A,#N/A,#N/A,
re,note in music,9,,#N/A,#N/A,#N/A,
reading,printed materials,9,4.1,#N/A,#N/A,#N/A,
ready,willing,9,5.2,#N/A,#N/A,#N/A,
ready,prepare for use,9,5.2,#N/A,#N/A,#N/A,
ready-made,already prepared,9,,#N/A,#N/A,#N/A,
real,not imagined,9,5.3,#N/A,#N/A,#N/A,
real,not imitation,9,5.3,#N/A,#N/A,#N/A,
really,for a fact,9,6.0,#N/A,#N/A,#N/A,
rear,the back part,9,7.4,#N/A,#N/A,#N/A,
rearrange,to put into another order,9,8.1,#N/A,#N/A,#N/A,
reason,power of thought,9,7.5,#N/A,#N/A,#N/A,
reason,common sense,9,7.5,#N/A,#N/A,#N/A,
reason,explanation,9,7.5,#N/A,#N/A,#N/A,
rebroadcast,to broadcast again,9,10.2,#N/A,#N/A,#N/A,
receive,get messages,9,7.7,#N/A,#N/A,#N/A,
receiver,telephone part,9,10.2,#N/A,#N/A,#N/A,
receiver,person or thing that receives,9,10.2,#N/A,#N/A,#N/A,
recently,not long ago,9,,#N/A,#N/A,#N/A,
recess,play time,9,5.7,#N/A,#N/A,#N/A,
recipe,cooking directions,9,7.0,#N/A,#N/A,#N/A,
reconstruct,make over,9,10.6,#N/A,#N/A,#N/A,
reconstruction,rebuilding,9,12.0,#N/A,#N/A,#N/A,
recorder,takes down sound,9,8.4,#N/A,#N/A,#N/A,
redder,more red-colored,9,3.3,#N/A,#N/A,#N/A,
reddest,most red-colored,9,3.3,#N/A,#N/A,#N/A,
red-faced,with a red face,9,,#N/A,#N/A,#N/A,
red-hot,very angry,9,,#N/A,#N/A,#N/A,
redskin,Indian,9,10.3,#N/A,#N/A,#N/A,
redwood,tree,9,,#N/A,#N/A,#N/A,
re-elect,elect again,9,10.6,#N/A,#N/A,#N/A,
re-election,election for another time,9,11.3,#N/A,#N/A,#N/A,
referee,sports judge,9,7.6,#N/A,#N/A,#N/A,
reflection,sending back rays,9,5.5,#N/A,#N/A,#N/A,
reflection,image in mirror,9,5.5,#N/A,#N/A,#N/A,
reflector,sends back light,9,8.6,#N/A,#N/A,#N/A,
refund,money returned,9,9.6,#N/A,#N/A,#N/A,
refusal,saying no,9,8.4,#N/A,#N/A,#N/A,
refuse,turn down,9,8.2,#N/A,#N/A,#N/A,
regain,to get back to,9,10.3,#N/A,#N/A,#N/A,
regain,get again,9,10.3,#N/A,#N/A,#N/A,
register,counting machine,9,7.6,#N/A,#N/A,#N/A,
regular,"average, normal",9,8.6,#N/A,#N/A,#N/A,
regular,usual,9,8.6,#N/A,#N/A,#N/A,
reject,to turn down,9,9.0,#N/A,#N/A,#N/A,
rejoicing,being happy,9,8.7,#N/A,#N/A,#N/A,
relation,belonging to same family,9,7.8,#N/A,#N/A,#N/A,
relationship,a family tie,9,9.1,#N/A,#N/A,#N/A,
relative,like uncle and aunt,9,6.5,#N/A,#N/A,#N/A,
relaxation,rest,9,9.5,#N/A,#N/A,#N/A,
relight,light again,9,8.2,#N/A,#N/A,#N/A,
religious,believes in God,9,7.8,#N/A,#N/A,#N/A,
remain,be left over,9,8.3,#N/A,#N/A,#N/A,
remain,to stay,9,8.3,#N/A,#N/A,#N/A,
remainder,what is left,9,8.0,#N/A,#N/A,#N/A,
remarks,a few words,9,8.5,#N/A,#N/A,#N/A,
rental,paying for use,9,8.9,#N/A,#N/A,#N/A,
renter,pays for using house,9,10.0,#N/A,#N/A,#N/A,
reopen,open again,9,8.8,#N/A,#N/A,#N/A,
reorganize,to change the system,9,9.6,#N/A,#N/A,#N/A,
repaid,gave back money,9,9.8,#N/A,#N/A,#N/A,
repass,pass again,9,,#N/A,#N/A,#N/A,
replace,to take the place of,9,7.7,#N/A,#N/A,#N/A,
replace,put back,9,7.7,#N/A,#N/A,#N/A,
replacement,stands for something else,9,9.7,#N/A,#N/A,#N/A,
replacement,takes the place of,9,9.7,#N/A,#N/A,#N/A,
reply,answer,9,7.5,#N/A,#N/A,#N/A,
report,a news story,9,7.6,#N/A,#N/A,#N/A,
report,a statement,9,7.6,#N/A,#N/A,#N/A,
report,tell what happened,9,7.6,#N/A,#N/A,#N/A,
republish,print again,9,11.7,#N/A,#N/A,#N/A,
research,hunt for facts,9,9.4,#N/A,#N/A,#N/A,
reservation,area where Indians live,9,11.2,#N/A,#N/A,#N/A,
reserve,to save for later,9,9.7,#N/A,#N/A,#N/A,
resettlement,making home in new place,9,11.5,#N/A,#N/A,#N/A,
rest,what's left,9,5.0,#N/A,#N/A,#N/A,
rest,a support,9,5.0,#N/A,#N/A,#N/A,
rest,break or pause,9,5.0,#N/A,#N/A,#N/A,
rest,no motion,9,5.0,#N/A,#N/A,#N/A,
retirement,giving up job,9,9.1,#N/A,#N/A,#N/A,
retrace,go over again,9,7.6,#N/A,#N/A,#N/A,
reunion,a getting together,9,10.1,#N/A,#N/A,#N/A,
revenge,getting even,9,8.5,#N/A,#N/A,#N/A,
revenge,to get even,9,8.5,#N/A,#N/A,#N/A,
review,to study your lesson again,9,9.3,#N/A,#N/A,#N/A,
revolver,hand gun,9,9.3,#N/A,#N/A,#N/A,
rhubarb,a garden plant,9,10.2,#N/A,#N/A,#N/A,
ribbon,contains typing ink,9,5.8,#N/A,#N/A,#N/A,
riches,valuable possessions,9,8.3,#N/A,#N/A,#N/A,
richness,having much,9,9.3,#N/A,#N/A,#N/A,
rid,do away with,9,7.2,#N/A,#N/A,#N/A,
rider,goes on horseback,9,6.4,#N/A,#N/A,#N/A,
ridiculous,foolish,9,7.0,#N/A,#N/A,#N/A,
rifle,a gun,9,7.2,#N/A,#N/A,#N/A,
right,exactly,9,4.6,#N/A,#N/A,#N/A,
right,opposite of left,9,4.6,#N/A,#N/A,#N/A,
right,"just, good",9,4.6,#N/A,#N/A,#N/A,
right,as it should be,9,4.6,#N/A,#N/A,#N/A,
righthand,the right side,9,,#N/A,#N/A,#N/A,
rightful,by right,9,9.3,#N/A,#N/A,#N/A,
right-handed,using right hand,9,,#N/A,#N/A,#N/A,
rightly,correctly,9,,#N/A,#N/A,#N/A,
rim,the edge,9,7.9,#N/A,#N/A,#N/A,
ringlet,small ring,9,,#N/A,#N/A,#N/A,
rink,place to skate,9,8.6,#N/A,#N/A,#N/A,
rinse,light wash,9,5.8,#N/A,#N/A,#N/A,
rinse,take off soap with clear water,9,5.8,#N/A,#N/A,#N/A,
riot,a wild disturbance,9,9.5,#N/A,#N/A,#N/A,
risen,gotten up,9,6.6,#N/A,#N/A,#N/A,
risky,not safe,9,8.2,#N/A,#N/A,#N/A,
road,a railway line,9,4.5,#N/A,#N/A,#N/A,
roadhog,selfish driver,9,,#N/A,#N/A,#N/A,
roadway,a highway,9,6.9,#N/A,#N/A,#N/A,
roam,wander,9,8.7,#N/A,#N/A,#N/A,
robe,piece of clothing,9,6.7,#N/A,#N/A,#N/A,
robot,manlike machine,9,5.8,#N/A,#N/A,#N/A,
rocker,special chair,9,7.1,#N/A,#N/A,#N/A,
rod,a pole,9,6.8,#N/A,#N/A,#N/A,
rodeo,cowboy contest,9,8.3,#N/A,#N/A,#N/A,
roger,"yes, o.k.",9,,#N/A,#N/A,#N/A,
roll,a bun or muffin,9,4.8,#N/A,#N/A,#N/A,
rollcall,finding who is present,9,,#N/A,#N/A,#N/A,
roller,part that turns,9,6.7,#N/A,#N/A,#N/A,
roller,a wheel or cylinder,9,6.7,#N/A,#N/A,#N/A,
roller,tool for painting,9,6.7,#N/A,#N/A,#N/A,
rollercoaster,an amusement ride,9,,#N/A,#N/A,#N/A,
romance,love story,9,9.1,#N/A,#N/A,#N/A,
roomer,rents a room,9,12.7,#N/A,#N/A,#N/A,
roomful,enough to fill a room,9,8.7,#N/A,#N/A,#N/A,
roommate,uses same room,9,9.2,#N/A,#N/A,#N/A,
rope,to lasso,9,5.5,#N/A,#N/A,#N/A,
rosy,pink or reddish,9,,#N/A,#N/A,#N/A,
rotate,take turns,9,7.9,#N/A,#N/A,#N/A,
rotation,changing crops by turns,9,8.9,#N/A,#N/A,#N/A,
rottenness,being spoiled,9,8.7,#N/A,#N/A,#N/A,
roughen,destroy smoothness,9,9.2,#N/A,#N/A,#N/A,
roughneck,tough person,9,11.2,#N/A,#N/A,#N/A,
roundup,bring cattle together,9,,#N/A,#N/A,#N/A,
rower,rows a boat,9,8.7,#N/A,#N/A,#N/A,
royalty,a king or queen,9,7.6,#N/A,#N/A,#N/A,
rub,scrape against,9,5.4,#N/A,#N/A,#N/A,
rub,stroke hard,9,5.4,#N/A,#N/A,#N/A,
rubbers,overshoes,9,6.6,#N/A,#N/A,#N/A,
rubbish,trash,9,8.9,#N/A,#N/A,#N/A,
ruby,a red jewel,9,8.1,#N/A,#N/A,#N/A,
rude,not polite,9,6.3,#N/A,#N/A,#N/A,
rudeness,no manners,9,8.0,#N/A,#N/A,#N/A,
ruffle,trim of gathered material,9,8.6,#N/A,#N/A,#N/A,
rugged,rough,9,10.4,#N/A,#N/A,#N/A,
ruin,destroy,9,7.5,#N/A,#N/A,#N/A,
rule,draw straight lines,9,5.6,#N/A,#N/A,#N/A,
rumba,a dance,9,11.7,#N/A,#N/A,#N/A,
rumble,"low, heavy sound",9,8.5,#N/A,#N/A,#N/A,
rummy,a card game,9,11.4,#N/A,#N/A,#N/A,
runatemperature,have high body heat,9,,#N/A,#N/A,#N/A,
runacross,to meet accidentally,9,,#N/A,#N/A,#N/A,
runinto,to meet,9,,#N/A,#N/A,#N/A,
runover,to overflow,9,,#N/A,#N/A,#N/A,
runaway,one who escapes,9,8.4,#N/A,#N/A,#N/A,
rung,"the past of ""ring""",9,4.9,#N/A,#N/A,#N/A,
runner,a messenger,9,5.6,#N/A,#N/A,#N/A,
runner,part of sled,9,5.6,#N/A,#N/A,#N/A,
rustler,cattle thief,9,11.0,#N/A,#N/A,#N/A,
sabbath,day of rest,9,,#N/A,#N/A,#N/A,
sadden,to make unhappy,9,8.5,#N/A,#N/A,#N/A,
sadden,to become sad,9,8.5,#N/A,#N/A,#N/A,
saddle,a bike seat,9,6.9,#N/A,#N/A,#N/A,
saddlebags,containers carried by horse,9,11.4,#N/A,#N/A,#N/A,
safe,for keeping money,9,5.1,#N/A,#N/A,#N/A,
saint,one declared holy by the church,9,7.5,#N/A,#N/A,#N/A,
saint,a holy person,9,7.5,#N/A,#N/A,#N/A,
salad,chopped greens,9,6.0,#N/A,#N/A,#N/A,
salary,your pay for work,9,10.5,#N/A,#N/A,#N/A,
salesman,sells things,9,8.5,#N/A,#N/A,#N/A,
salesperson,sells goods,9,8.4,#N/A,#N/A,#N/A,
salmon,a large fish,9,7.6,#N/A,#N/A,#N/A,
saloon,sells drinks,9,9.4,#N/A,#N/A,#N/A,
salute,firing of guns in respect,9,8.4,#N/A,#N/A,#N/A,
salute,a greeting,9,8.4,#N/A,#N/A,#N/A,
salute,a sign made by hand,9,8.4,#N/A,#N/A,#N/A,
sameness,being just alike,9,10.1,#N/A,#N/A,#N/A,
sample,one of a kind,9,7.4,#N/A,#N/A,#N/A,
sandal,open shoe,9,5.2,#N/A,#N/A,#N/A,
sandier,more covered with sand,9,,#N/A,#N/A,#N/A,
sandpaper,rough paper,9,6.3,#N/A,#N/A,#N/A,
sanitary,free from germs,9,10.5,#N/A,#N/A,#N/A,
sanitation,cleanliness for health,9,11.3,#N/A,#N/A,#N/A,
sardine,small fish,9,8.2,#N/A,#N/A,#N/A,
sassy,smart-alecky,9,8.2,#N/A,#N/A,#N/A,
satisfy,fill wishes,9,9.1,#N/A,#N/A,#N/A,
saucepan,small cooking pan,9,7.9,#N/A,#N/A,#N/A,
savage,a wild person,9,9.1,#N/A,#N/A,#N/A,
savage,wild,9,9.1,#N/A,#N/A,#N/A,
save,get out of danger,9,5.8,#N/A,#N/A,#N/A,
save,not waste,9,5.8,#N/A,#N/A,#N/A,
saver,keeps things,9,7.8,#N/A,#N/A,#N/A,
savior,one who saves,9,7.7,#N/A,#N/A,#N/A,
sawhorse,support for sawing,9,9.6,#N/A,#N/A,#N/A,
sawmill,cujts up logs,9,9.6,#N/A,#N/A,#N/A,
saxophone,wind instrument,9,9.7,#N/A,#N/A,#N/A,
scab,crust on sore,9,6.4,#N/A,#N/A,#N/A,
scalp,top of head,9,7.0,#N/A,#N/A,#N/A,
scar,healed cut,9,6.2,#N/A,#N/A,#N/A,
scarce,hard to find,9,9.8,#N/A,#N/A,#N/A,
scarf,worn around neck,9,5.9,#N/A,#N/A,#N/A,
scarf,head covering,9,5.9,#N/A,#N/A,#N/A,
scarlet,bright red,9,7.7,#N/A,#N/A,#N/A,
scat,get out of here!,9,11.8,#N/A,#N/A,#N/A,
scenery,stage background,9,9.7,#N/A,#N/A,#N/A,
scent,the way it smells,9,7.5,#N/A,#N/A,#N/A,
schoolbook,textbook,9,6.1,#N/A,#N/A,#N/A,
schoolgirl,a girl student,9,6.7,#N/A,#N/A,#N/A,
schooling,education,9,6.4,#N/A,#N/A,#N/A,
schoolmate,fellow pupil,9,6.6,#N/A,#N/A,#N/A,
schoolteacher,teaches school,9,4.1,#N/A,#N/A,#N/A,
science,chemistry and physics,9,7.6,#N/A,#N/A,#N/A,
science,tested knowledge,9,7.6,#N/A,#N/A,#N/A,
scientific,way of studying things,9,8.7,#N/A,#N/A,#N/A,
scientist,works in laboratory,9,8.3,#N/A,#N/A,#N/A,
scooter,a two-wheeled vehicle,9,6.7,#N/A,#N/A,#N/A,
scorch,burn a little,9,9.9,#N/A,#N/A,#N/A,
scorching,"burning, stinging",9,9.9,#N/A,#N/A,#N/A,
score,to grade papers,9,5.7,#N/A,#N/A,#N/A,
scout,to seek information,9,7.1,#N/A,#N/A,#N/A,
scout,one sent ahead to look,9,7.1,#N/A,#N/A,#N/A,
scrabble,"word game, t.m.",9,9.3,#N/A,#N/A,#N/A,
scram,get out,9,9.2,#N/A,#N/A,#N/A,
scramble,mix things up,9,8.2,#N/A,#N/A,#N/A,
scramble,to move quickly,9,8.2,#N/A,#N/A,#N/A,
scrap,junk,9,7.1,#N/A,#N/A,#N/A,
scrap,a small piece,9,7.1,#N/A,#N/A,#N/A,
scrapbook,for pasting pictures,9,7.6,#N/A,#N/A,#N/A,
scrape,to scratch,9,6.4,#N/A,#N/A,#N/A,
scraper,kitchen tool,9,8.2,#N/A,#N/A,#N/A,
scraps,leftovers,9,7.1,#N/A,#N/A,#N/A,
scream,to cry loudly,9,4.9,#N/A,#N/A,#N/A,
screen,a protective wall,9,6.1,#N/A,#N/A,#N/A,
screwball,a crazy person,9,8.9,#N/A,#N/A,#N/A,
scribbler,careless writer,9,9.5,#N/A,#N/A,#N/A,
seahorse,horse-headed fish,9,,#N/A,#N/A,#N/A,
sealevel,zero point for elevation,9,,#N/A,#N/A,#N/A,
seacoast,beach along sea,9,7.8,#N/A,#N/A,#N/A,
seafight,an ocean battle,9,,#N/A,#N/A,#N/A,
seafood,"oysters, shrimp, etc.",9,6.9,#N/A,#N/A,#N/A,
sealskin,a fur,9,10.4,#N/A,#N/A,#N/A,
seaplane,plane used on water,9,11.5,#N/A,#N/A,#N/A,
seaport,where ships land,9,10.7,#N/A,#N/A,#N/A,
search,look for,9,7.5,#N/A,#N/A,#N/A,
seasick,sick from rocking boat,9,8.9,#N/A,#N/A,#N/A,
seaside,the beach or coast,9,7.2,#N/A,#N/A,#N/A,
seat,part of a pair of pants,9,4.7,#N/A,#N/A,#N/A,
seaweed,plant in sea,9,6.7,#N/A,#N/A,#N/A,
second,after the first,9,5.2,#N/A,#N/A,#N/A,
second-class,not best quality,9,,#N/A,#N/A,#N/A,
secretary,types letters,9,8.6,#N/A,#N/A,#N/A,
section,a part,9,8.0,#N/A,#N/A,#N/A,
seedless,without seeds,9,7.1,#N/A,#N/A,#N/A,
seedtime,the planting season,9,,#N/A,#N/A,#N/A,
seek,search for,9,7.0,#N/A,#N/A,#N/A,
seize,to grab suddenly,9,9.8,#N/A,#N/A,#N/A,
seize,to take by force,9,9.8,#N/A,#N/A,#N/A,
select,pick out,9,7.7,#N/A,#N/A,#N/A,
selection,thing picked out,9,8.0,#N/A,#N/A,#N/A,
selection,act of choosing,9,8.0,#N/A,#N/A,#N/A,
selective,chooses carefully,9,9.5,#N/A,#N/A,#N/A,
self,the nature of a person,9,5.6,#N/A,#N/A,#N/A,
self-addressed,with your own name on it,9,,#N/A,#N/A,#N/A,
self-control,power over yourself,9,,#N/A,#N/A,#N/A,
selfishness,not sharing with others,9,7.5,#N/A,#N/A,#N/A,
self-pity,feeling sorry for  yourself,9,,#N/A,#N/A,#N/A,
sell,give for money,9,6.3,#N/A,#N/A,#N/A,
selves,persons,9,5.6,#N/A,#N/A,#N/A,
selves,more than one self,9,5.6,#N/A,#N/A,#N/A,
sense,understanding,9,7.3,#N/A,#N/A,#N/A,
sensible,showing good sense,9,8.8,#N/A,#N/A,#N/A,
sent,made to go,9,5.8,#N/A,#N/A,#N/A,
sentence,give jail term,9,6.1,#N/A,#N/A,#N/A,
sentence,court punishment,9,6.1,#N/A,#N/A,#N/A,
sentence,a written thought,9,6.1,#N/A,#N/A,#N/A,
separate,single,9,7.1,#N/A,#N/A,#N/A,
separating,taking apart,9,7.1,#N/A,#N/A,#N/A,
sermon,religious talk,9,8.4,#N/A,#N/A,#N/A,
servant,helps keep house,9,8.3,#N/A,#N/A,#N/A,
serve,wait on,9,7.0,#N/A,#N/A,#N/A,
serve,work for,9,7.0,#N/A,#N/A,#N/A,
serve,to do one's job or duty,9,7.0,#N/A,#N/A,#N/A,
server,waits on tables,9,9.9,#N/A,#N/A,#N/A,
service,equip or repair,9,8.0,#N/A,#N/A,#N/A,
set,several pieces of equipment,9,6.2,#N/A,#N/A,#N/A,
set,fix broken bone,9,6.2,#N/A,#N/A,#N/A,
set,group of things,9,6.2,#N/A,#N/A,#N/A,
set,shows TV,9,6.2,#N/A,#N/A,#N/A,
set,arrange dinner table,9,6.2,#N/A,#N/A,#N/A,
setoff,to explode,9,,#N/A,#N/A,#N/A,
setout, to start,9,,#N/A,#N/A,#N/A,
setsail,to begin a voyage,9,,#N/A,#N/A,#N/A,
setup,to establish,9,,#N/A,#N/A,#N/A,
settle,sink to bottom,9,8.2,#N/A,#N/A,#N/A,
settle,to come to rest,9,8.2,#N/A,#N/A,#N/A,
settle,to make one's home,9,8.2,#N/A,#N/A,#N/A,
settlement,where people live,9,9.1,#N/A,#N/A,#N/A,
settler,"a colonist, pioneer",9,9.7,#N/A,#N/A,#N/A,
several,more than two,9,7.2,#N/A,#N/A,#N/A,
sewing,needlework,9,6.1,#N/A,#N/A,#N/A,
sex,being boy or girl,9,9.1,#N/A,#N/A,#N/A,
shadowy,"faint, dim",9,6.6,#N/A,#N/A,#N/A,
shady,in shadow,9,10.7,#N/A,#N/A,#N/A,
shaggy,"with long, untidy hair",9,,#N/A,#N/A,#N/A,
shakehands,to greet by touching hands,9,,#N/A,#N/A,#N/A,
shaking,stirring up roughly,9,5.5,#N/A,#N/A,#N/A,
shame,disgrace,9,7.0,#N/A,#N/A,#N/A,
shame,a cause for pity,9,7.0,#N/A,#N/A,#N/A,
shape,condition,9,5.1,#N/A,#N/A,#N/A,
shape,to form,9,5.1,#N/A,#N/A,#N/A,
shapeless,without form,9,10.1,#N/A,#N/A,#N/A,
shapely,well formed,9,12.7,#N/A,#N/A,#N/A,
shareholder,part owner,9,14.3,#N/A,#N/A,#N/A,
shark,man-eating fish,9,5.1,#N/A,#N/A,#N/A,
sharp,cuts easily,9,5.3,#N/A,#N/A,#N/A,
sharp,exactly,9,5.3,#N/A,#N/A,#N/A,
sharpen,make sharp,9,5.6,#N/A,#N/A,#N/A,
sharpener,sharpens things,9,6.4,#N/A,#N/A,#N/A,
shave,to pass very close,9,7.1,#N/A,#N/A,#N/A,
shaving,cutting the beard,9,7.1,#N/A,#N/A,#N/A,
shears,large scissors,9,9.4,#N/A,#N/A,#N/A,
sheepman,a raiser of sheep,9,,#N/A,#N/A,#N/A,
sheepskin,skin of sheep,9,10.2,#N/A,#N/A,#N/A,
sheet,a piece of paper,9,5.3,#N/A,#N/A,#N/A,
sheet,"big, thin piece",9,5.3,#N/A,#N/A,#N/A,
shelf,flat board,9,5.7,#N/A,#N/A,#N/A,
shellfish,like a clam,9,9.1,#N/A,#N/A,#N/A,
shelter,place to live,9,8.0,#N/A,#N/A,#N/A,
shelter,keep protected,9,8.0,#N/A,#N/A,#N/A,
shepherder,a watcher of sheep,9,,#N/A,#N/A,#N/A,
sherbet,kind of ice cream,9,6.9,#N/A,#N/A,#N/A,
sheriff,county policeman,9,6.4,#N/A,#N/A,#N/A,
shhh!,be still,9,,#N/A,#N/A,#N/A,
shield,protects in fighting,9,7.0,#N/A,#N/A,#N/A,
shift,change position,9,8.6,#N/A,#N/A,#N/A,
shin,front part of lower leg,9,7.9,#N/A,#N/A,#N/A,
shine,to polish up,9,6.0,#N/A,#N/A,#N/A,
shine,brightness,9,6.0,#N/A,#N/A,#N/A,
shine,reflect light,9,6.0,#N/A,#N/A,#N/A,
shiny,bright or glossy,9,4.6,#N/A,#N/A,#N/A,
shipload,a full load for ship,9,8.7,#N/A,#N/A,#N/A,
shipmate,fellow sailor,9,9.4,#N/A,#N/A,#N/A,
shipowner,owns ships,9,,#N/A,#N/A,#N/A,
shipshape,in good order,9,8.7,#N/A,#N/A,#N/A,
shipwreck,destroyed ship,9,10.4,#N/A,#N/A,#N/A,
shock,jar by electricity,9,7.4,#N/A,#N/A,#N/A,
shock,sudden weakening,9,7.4,#N/A,#N/A,#N/A,
shock,surprise or disgust,9,7.4,#N/A,#N/A,#N/A,
shock,emotional upset,9,7.4,#N/A,#N/A,#N/A,
shoehorn,used to put on shoes,9,7.9,#N/A,#N/A,#N/A,
shook,trembled,9,5.5,#N/A,#N/A,#N/A,
shookup,upset someone,9,,#N/A,#N/A,#N/A,
shop,a place for work,9,5.0,#N/A,#N/A,#N/A,
short,not enough of,9,4.8,#N/A,#N/A,#N/A,
shortcut,quicker way,9,,#N/A,#N/A,#N/A,
shortwave,a radio wave,9,,#N/A,#N/A,#N/A,
shortage,too small an amount,9,9.2,#N/A,#N/A,#N/A,
